# Compact offline IEEE Registration Authority public-listing snapshot.
# Generated 2026-08-30 from MA-L, MA-M and MA-S CSV listings.
# Format: hexadecimal prefix/prefix length<TAB>organization.
8C1F64B86/36	Elektronik & Modellprodukter Gävle AB
8C1F64001/36	HYFIX Spatial Intelligence
8C1F64A71/36	Martec S.p.A.
8C1F64DC4/36	Amazon Robotics MTAC Matrix NPI
8C1F6434A/36	Raspberry Pi (Trading) Ltd
8C1F648C9/36	RoboCore Tecnologia
8C1F6466D/36	VT100 SRL
8C1F644A9/36	Martec Marine S.p.a.
8C1F6406A/36	Intellisense Systems Inc.
8C1F643D4/36	e.p.g. Elettronica s.r.l.
8C1F64AAB/36	BlueSword Intelligent Technology Co.
70B3D5CB0/36	Ossiaco
70B3D5514/36	Intelligent Security Systems (ISS)
70B3D54F1/36	LG Electronics
70B3D5ACA/36	Tecnint HTE SRL
70B3D5890/36	EIDOS s.r.l.
70B3D50EA/36	AEV Broadcast Srl
70B3D54A0/36	FLUDIA
70B3D5809/36	Tecnint HTE SRL
70B3D5785/36	Density Inc.
70B3D5A5C/36	Molekule
70B3D51F5/36	Martec S.p.A.
001BC504A/36	Certis Technology International Pte Ltd
001BC5023/36	MAGO di Della Mora Walter
8C1F647B7/36	James G. Biddle dba Megger
8C1F64D80/36	AZTEK SA
8C1F64BB9/36	SmartD Technologies Inc
8C1F644B4/36	Point One Navigation
8C1F64B41/36	STATE GRID INTELLIGENCE TECHNOLOGY CO.
8C1F64607/36	Nanjing Aotong Intelligent Technology Co.
8C1F6499E/36	EIDOS s.r.l.
8C1F644F7/36	SmartD Technologies Inc
8C1F6438C/36	XIAMEN ZHIXIAOJIN INTELLIGENT TECHNOLOGY CO.
8C1F64240/36	HuiTong intelligence Company
8C1F64254/36	Zhuhai Yunzhou Intelligence Technology Ltd.
